Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
00998;19961001;20090201;696;48.7968;8.4921;Dobel;Baden-Württemberg;Frei
01000;19580101;19970831;3;54.1442;11.8454;Doberan, Bad-Heiligendamm;Mecklenburg-Vorpommern;Frei
01001;19750701;20250505;97;51.6451;13.5747;Doberlug-Kirchhain;Brandenburg;Frei
01010;19870401;20080923;5;52.9732;7.3209;Dörpen (Kläranlage);Niedersachsen;Frei
01011;19901011;20250505;442;49.6017;7.7413;Dörrmoschel-Felsbergerhof;Rheinland-Pfalz;Frei
01013;19800401;20250505;309;47.6026;8.1697;Dogern;Baden-Württemberg;Frei
01014;20050301;20250506;2;53.2289;7.2191;Dollart-Kanalpolder;Niedersachsen;Frei
01018;20061009;20111129;677;47.9422;8.5046;Donaueschingen;Baden-Württemberg;Frei
01023;20060103;20250506;430;48.2746;12.1616;Dorfen (Kläranlage);Bayern;Frei
01024;20060801;20250506;37;51.1157;6.8510;Dormagen-Zons;Nordrhein-Westfalen;Frei
01030;20050301;20250506;3;53.6460;7.4302;Dornum;Niedersachsen;Frei
01032;19510101;19601231;120;51.5120;7.5345;Dortmund;Nordrhein-Westfalen;Frei
01035;19931201;20001130;122;51.5206;7.6161;Dortmund-Wickede;Nordrhein-Westfalen;
01039;20041201;20250506;317;51.5263;9.7978;Dransfeld-Ossenfeld;Niedersachsen;Frei
01046;20041001;20250506;72;51.7585;7.7528;Drensteinfurt;Nordrhein-Westfalen;Frei
01048;19750701;20250505;228;51.1278;13.7543;Dresden-Klotzsche;Sachsen;Frei
01050;20060401;20250505;112;51.0221;13.8470;Dresden-Hosterwitz;Sachsen;Frei
01051;20070301;20230814;119;51.0249;13.7750;Dresden-Strehlen;Sachsen;Frei
